location_id,W1,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
W1,0.0,22.360679774997898,29.154759474226502,50.0,47.43416490252569,41.23105625617661,58.309518948453004,67.26812023536856,63.245553203367585,79.05694150420949,82.76472678623425
C1,22.360679774997898,0.0,15.811388300841896,28.284271247461902,25.495097567963924,31.622776601683793,41.23105625617661,46.09772228646444,50.0,60.41522986797286,66.70832032063167
C2,29.154759474226502,15.811388300841896,0.0,25.495097567963924,31.622776601683793,15.811388300841896,29.154759474226502,40.311288741492746,35.35533905932738,50.0,53.85164807134504
C3,50.0,28.284271247461902,25.495097567963924,0.0,15.811388300841896,31.622776601683793,22.360679774997898,18.027756377319946,36.05551275463989,35.35533905932738,45.27692569068709
C4,47.43416490252569,25.495097567963924,31.622776601683793,15.811388300841896,0.0,43.01162633521314,38.07886552931954,30.4138126514911,51.478150704935004,50.0,60.8276253029822
C5,41.23105625617661,31.622776601683793,15.811388300841896,31.622776601683793,43.01162633521314,0.0,22.360679774997898,40.311288741492746,22.360679774997898,43.01162633521314,43.01162633521314
C6,58.309518948453004,41.23105625617661,29.154759474226502,22.360679774997898,38.07886552931954,22.360679774997898,0.0,20.615528128088304,14.142135623730951,21.213203435596427,25.495097567963924
C7,67.26812023536856,46.09772228646444,40.311288741492746,18.027756377319946,30.4138126514911,40.311288741492746,20.615528128088304,0.0,33.54101966249684,20.615528128088304,33.54101966249684
C8,63.245553203367585,50.0,35.35533905932738,36.05551275463989,51.478150704935004,22.360679774997898,14.142135623730951,33.54101966249684,0.0,25.495097567963924,21.213203435596427
C9,79.05694150420949,60.41522986797286,50.0,35.35533905932738,50.0,43.01162633521314,21.213203435596427,20.615528128088304,25.495097567963924,0.0,14.142135623730951
C10,82.76472678623425,66.70832032063167,53.85164807134504,45.27692569068709,60.8276253029822,43.01162633521314,25.495097567963924,33.54101966249684,21.213203435596427,14.142135623730951,0.0
